transaction,risk,reason
7798a3d5,HIGH,['Крупная сумма операции']
8eabf3b8,HIGH,"['Крупная сумма операции', 'Много новых получателей']"
e5f61f09,HIGH,['Крупная сумма операции']
c9582b3a,MEDIUM,['Много новых получателей']
4480cb97,MEDIUM,['Много новых получателей']
fcaa35f0,MEDIUM,['Много новых получателей']
2c8b1bf7,HIGH,['Крупная сумма операции']
5b6a4731,HIGH,"['Крупная сумма операции', 'Много новых получателей']"
ab511678,MEDIUM,['Много новых получателей']
5aa6d954,MEDIUM,['Много новых получателей']
d8ee583f,MEDIUM,['Слишком много операций за короткое время']
9cc02729,MEDIUM,['Слишком много операций за короткое время']
24b51a35,MEDIUM,['Слишком много операций за короткое время']
cbb0e74a,HIGH,['Крупная сумма операции']
f6b161c4,MEDIUM,['Слишком много операций за короткое время']
a6f9b008,MEDIUM,['Слишком много операций за короткое время']
c782b00d,HIGH,"['Крупная сумма операции', 'Много новых получателей']"
ecb03bc7,HIGH,"['Крупная сумма операции', 'Слишком много операций за короткое время']"
17fde937,HIGH,['Крупная сумма операции']
bd5bfee8,MEDIUM,['Слишком много операций за короткое время']
8963441d,MEDIUM,['Много новых получателей']
